transaction_amount,buyer_account_age_days,seller_trust_score,num_previous_disputes,velocity_1h,seller_rating,is_new_seller,payment_method,category,is_fraud
331.87,19.0,40.4,0.0,4.0,1.83,1.0,wallet,Pharmacy,1
1135.5,14.0,67.96,0.0,1.0,3.76,0.0,upi,Grocery,0
517.81,153.0,91.21,2.0,1.0,4.45,0.0,upi,Grocery,0
708.42,329.0,58.51,0.0,2.0,3.23,0.0,card,Pharmacy,0
927.24,3.0,64.57,0.0,2.0,3.03,0.0,upi,Grocery,0
1930.53,15.0,56.66,0.0,1.0,3.02,0.0,card,Pharmacy,0
927.25,34.0,74.9,0.0,0.0,3.68,0.0,cod,Pharmacy,0
602.72,812.0,48.92,0.0,2.0,2.8,1.0,upi,Electronics,0
1091.64,197.0,95.15,0.0,3.0,5.0,0.0,upi,Fashion,0
1143.01,92.0,75.67,0.0,2.0,3.85,0.0,wallet,Food & Beverage,0
560.51,266.0,78.11,0.0,2.0,4.48,0.0,card,Home & Kitchen,0
729.75,80.0,62.05,0.0,4.0,3.06,0.0,card,Pharmacy,0
791.21,75.0,76.19,0.0,2.0,3.87,0.0,cod,Fashion,0
1717.0,106.0,59.33,0.0,2.0,2.93,0.0,upi,Electronics,0
101.9,166.0,78.88,1.0,0.0,3.64,0.0,cod,Electronics,0
1049.66,2.0,69.85,2.0,1.0,3.93,0.0,cod,Electronics,0
1434.73,1.0,80.68,1.0,2.0,4.08,0.0,wallet,Fashion,0
1681.59,516.0,90.22,0.0,0.0,4.39,0.0,upi,Pharmacy,0
218.6,15.0,54.33,0.0,1.0,2.5,0.0,upi,Home & Kitchen,0
212.6,160.0,74.5,0.0,0.0,4.29,0.0,upi,Home & Kitchen,0
498.54,121.0,68.77,0.0,1.0,3.4,0.0,upi,Fashion,0
1283.6,106.0,74.12,2.0,1.0,3.66,0.0,upi,Beauty,0
1547.82,631.0,77.02,0.0,2.0,4.16,0.0,card,Books,0
187.46,812.0,24.56,0.0,1.0,1.69,1.0,upi,Food & Beverage,0
944.19,34.0,25.28,0.0,1.0,1.11,1.0,cod,Books,1
1490.9,154.0,91.4,0.0,4.0,4.76,0.0,wallet,Home & Kitchen,0
581.48,741.0,62.53,0.0,1.0,3.31,0.0,upi,Grocery,0
998.98,22.0,49.6,0.0,3.0,2.43,0.0,upi,Fashion,0
290.63,320.0,57.38,1.0,1.0,2.75,0.0,upi,Electronics,0
1195.26,4.0,32.19,0.0,0.0,1.43,1.0,wallet,Beauty,0
698.99,113.0,56.38,0.0,0.0,3.13,0.0,card,Grocery,0
645.33,18.0,67.23,0.0,0.0,3.44,0.0,upi,Home & Kitchen,0
968.21,154.0,71.51,1.0,1.0,3.6,0.0,upi,Beauty,0
163.67,96.0,63.08,0.0,2.0,2.94,0.0,cod,Home & Kitchen,0
512.33,1.0,74.17,0.0,1.0,4.02,0.0,cod,Beauty,0
1491.7,257.0,93.17,0.0,2.0,4.75,0.0,upi,Beauty,0
185.7,235.0,52.17,1.0,1.0,2.35,1.0,upi,Electronics,0
205.23,85.0,55.86,0.0,0.0,2.69,0.0,wallet,Electronics,0
556.48,61.0,67.42,0.0,3.0,3.6,0.0,cod,Pharmacy,0
785.62,181.0,82.8,0.0,1.0,3.61,0.0,upi,Home & Kitchen,0
928.43,177.0,30.83,1.0,1.0,1.53,1.0,card,Fashion,1
2494.98,164.0,77.71,0.0,4.0,4.14,0.0,upi,Beauty,0
952.96,23.0,58.02,0.0,0.0,2.98,0.0,card,Home & Kitchen,0
1043.76,30.0,79.03,0.0,3.0,4.17,0.0,wallet,Pharmacy,0
1686.22,118.0,66.21,0.0,1.0,2.68,0.0,upi,Pharmacy,0
408.89,19.0,53.41,0.0,1.0,2.28,0.0,upi,Grocery,0
1071.16,9.0,83.33,0.0,2.0,4.44,0.0,card,Grocery,0
1273.23,11.0,85.39,0.0,0.0,4.39,0.0,upi,Pharmacy,0
1153.07,307.0,77.61,0.0,2.0,3.8,0.0,upi,Books,0
929.89,6.0,94.03,1.0,1.0,4.78,0.0,upi,Pharmacy,0
882.56,209.0,66.78,0.0,0.0,3.52,0.0,upi,Grocery,0
332.71,6.0,77.63,0.0,4.0,3.74,0.0,upi,Food & Beverage,0
605.55,29.0,61.07,0.0,0.0,2.85,0.0,wallet,Beauty,0
2110.04,257.0,81.47,0.0,2.0,3.67,0.0,wallet,Grocery,0
502.61,144.0,74.29,0.0,1.0,4.15,0.0,card,Books,0
822.87,81.0,84.26,1.0,0.0,4.23,0.0,upi,Grocery,0
783.63,19.0,54.15,0.0,1.0,3.16,0.0,upi,Books,0
1072.02,30.0,84.87,0.0,0.0,3.84,0.0,card,Food & Beverage,0
778.79,67.0,94.29,1.0,1.0,4.75,0.0,card,Pharmacy,0
686.96,529.0,27.36,0.0,1.0,1.01,0.0,upi,Books,0
1458.49,159.0,31.44,0.0,2.0,2.1,0.0,cod,Pharmacy,0
951.7,364.0,90.94,1.0,1.0,5.0,0.0,cod,Grocery,0
883.67,118.0,62.67,0.0,0.0,3.51,0.0,upi,Beauty,0
529.98,52.0,23.59,1.0,0.0,1.0,1.0,wallet,Electronics,1
618.48,288.0,41.44,1.0,0.0,1.73,0.0,cod,Electronics,0
979.33,193.0,65.95,0.0,0.0,3.27,0.0,wallet,Grocery,0
1556.49,130.0,80.86,0.0,3.0,4.08,0.0,cod,Home & Kitchen,0
1917.43,603.0,91.44,0.0,1.0,4.73,0.0,upi,Pharmacy,0
1036.67,32.0,43.52,0.0,1.0,2.32,1.0,card,Fashion,0
2791.58,888.0,48.49,0.0,1.0,2.43,0.0,upi,Pharmacy,0
658.77,16.0,68.06,0.0,1.0,3.33,0.0,upi,Books,0
655.45,8.0,74.19,0.0,1.0,3.46,0.0,upi,Fashion,0
1764.6,123.0,23.22,0.0,2.0,1.36,1.0,card,Grocery,0
912.23,117.0,86.08,2.0,1.0,3.59,0.0,cod,Pharmacy,0
543.18,14.0,69.79,0.0,1.0,3.52,0.0,upi,Beauty,0
804.42,6.0,60.5,1.0,0.0,3.09,0.0,card,Grocery,0
369.41,31.0,63.59,0.0,1.0,3.11,0.0,cod,Food & Beverage,0
717.9,499.0,30.25,0.0,0.0,1.76,1.0,card,Beauty,1
335.88,144.0,55.65,0.0,2.0,3.08,0.0,upi,Grocery,0
368.95,184.0,75.9,0.0,0.0,3.86,0.0,card,Pharmacy,0
971.84,10.0,34.78,0.0,0.0,2.43,1.0,upi,Beauty,0
126.26,96.0,90.67,0.0,0.0,4.32,0.0,card,Grocery,0
339.14,7.0,37.43,0.0,1.0,1.73,1.0,card,Beauty,1
450.9,271.0,69.04,1.0,0.0,3.33,0.0,upi,Beauty,0
600.43,87.0,68.24,0.0,2.0,3.75,0.0,upi,Grocery,0
1201.61,24.0,20.71,2.0,2.0,1.14,1.0,upi,Fashion,1
584.62,118.0,24.49,0.0,1.0,1.0,1.0,cod,Pharmacy,1
2060.15,134.0,86.79,1.0,1.0,4.24,0.0,upi,Beauty,0
497.86,213.0,53.08,0.0,1.0,2.47,0.0,cod,Home & Kitchen,0
135.18,297.0,74.9,0.0,0.0,4.25,0.0,wallet,Beauty,0
356.3,215.0,69.15,0.0,0.0,3.22,0.0,card,Home & Kitchen,0
961.97,27.0,27.82,1.0,2.0,1.39,1.0,cod,Grocery,1
367.92,195.0,88.36,0.0,2.0,3.95,0.0,card,Grocery,0
487.56,221.0,27.92,0.0,1.0,1.44,1.0,upi,Pharmacy,0
1755.01,303.0,93.99,0.0,1.0,5.0,0.0,upi,Home & Kitchen,0
2117.43,149.0,89.36,0.0,2.0,4.22,0.0,wallet,Food & Beverage,0
254.65,54.0,92.38,0.0,1.0,4.9,0.0,cod,Grocery,0
681.83,113.0,48.36,0.0,0.0,2.36,0.0,wallet,Food & Beverage,0
945.95,112.0,78.47,0.0,2.0,3.92,0.0,upi,Pharmacy,0
1503.58,9.0,44.54,0.0,0.0,2.41,0.0,upi,Food & Beverage,0
579.7,52.0,26.82,1.0,1.0,1.0,1.0,upi,Food & Beverage,1
940.52,7.0,93.16,2.0,2.0,4.43,0.0,cod,Grocery,0
1684.79,134.0,51.9,0.0,0.0,2.32,1.0,upi,Electronics,0
822.44,70.0,22.73,0.0,2.0,1.64,1.0,card,Electronics,0
87.15,319.0,46.29,0.0,2.0,2.63,1.0,cod,Grocery,0
676.8,356.0,63.31,2.0,3.0,3.46,0.0,cod,Pharmacy,0
424.23,128.0,56.55,0.0,2.0,3.13,0.0,upi,Books,0
447.86,36.0,64.0,0.0,2.0,3.44,0.0,upi,Food & Beverage,0
476.44,46.0,89.67,0.0,0.0,4.0,0.0,card,Home & Kitchen,0
123.72,582.0,62.45,0.0,0.0,2.94,0.0,upi,Books,0
2022.87,35.0,91.93,1.0,1.0,4.53,0.0,upi,Pharmacy,0
1568.76,143.0,90.75,0.0,1.0,4.58,0.0,upi,Pharmacy,0
2228.37,87.0,71.83,0.0,0.0,3.29,0.0,upi,Electronics,0
2931.77,359.0,66.27,0.0,5.0,2.9,0.0,upi,Food & Beverage,0
916.74,35.0,61.92,0.0,1.0,2.78,0.0,upi,Electronics,0
537.21,403.0,97.47,1.0,0.0,4.65,0.0,cod,Beauty,0
1106.21,105.0,58.84,0.0,3.0,2.83,0.0,card,Fashion,0
1139.94,611.0,53.02,0.0,2.0,2.78,0.0,wallet,Pharmacy,0
535.63,188.0,50.02,0.0,3.0,2.45,1.0,cod,Pharmacy,1
524.07,188.0,95.23,1.0,1.0,5.0,0.0,cod,Beauty,0
753.34,127.0,91.52,0.0,2.0,4.76,0.0,card,Beauty,0
494.72,178.0,48.28,0.0,0.0,2.32,0.0,card,Grocery,0
1148.25,173.0,69.92,1.0,0.0,3.63,0.0,upi,Food & Beverage,0
297.16,316.0,35.01,0.0,0.0,1.72,0.0,card,Pharmacy,0
1327.98,119.0,52.78,0.0,1.0,2.46,0.0,card,Grocery,0
1883.51,137.0,73.77,0.0,1.0,3.71,0.0,card,Beauty,0
2141.62,162.0,75.39,1.0,0.0,3.89,0.0,card,Beauty,0
3227.69,143.0,32.35,0.0,1.0,1.92,0.0,cod,Grocery,0
1161.01,218.0,75.7,0.0,1.0,4.45,0.0,upi,Home & Kitchen,0
256.01,36.0,60.56,0.0,1.0,3.41,0.0,upi,Grocery,0
869.23,271.0,49.96,0.0,2.0,2.2,1.0,upi,Electronics,0
2777.01,621.0,73.12,0.0,3.0,3.18,0.0,cod,Food & Beverage,0
2097.77,1.0,75.46,0.0,0.0,4.16,0.0,wallet,Fashion,0
649.05,275.0,95.74,0.0,1.0,4.75,0.0,cod,Electronics,0
150.39,18.0,67.99,1.0,6.0,3.19,0.0,card,Home & Kitchen,1
1119.65,338.0,37.02,0.0,0.0,2.34,1.0,cod,Beauty,0
242.78,384.0,84.26,0.0,0.0,4.16,0.0,cod,Home & Kitchen,0
1097.79,95.0,73.86,0.0,1.0,3.66,0.0,upi,Grocery,0
1191.33,362.0,84.23,1.0,3.0,4.02,0.0,upi,Books,0
2030.14,80.0,65.32,1.0,2.0,2.66,0.0,cod,Grocery,0
164.23,928.0,39.41,0.0,3.0,1.69,1.0,cod,Fashion,1
1513.87,135.0,49.74,0.0,1.0,2.3,0.0,upi,Pharmacy,0
758.56,4.0,77.78,1.0,3.0,3.4,0.0,upi,Food & Beverage,0
2391.15,1.0,75.11,0.0,2.0,3.78,0.0,wallet,Pharmacy,0
1446.06,67.0,42.8,1.0,1.0,2.22,0.0,card,Beauty,0
921.93,101.0,66.42,1.0,1.0,3.59,0.0,cod,Home & Kitchen,0
413.26,344.0,48.62,1.0,1.0,2.2,1.0,upi,Food & Beverage,1
815.9,258.0,72.65,1.0,1.0,3.07,0.0,card,Home & Kitchen,0
1768.13,345.0,77.12,0.0,1.0,3.76,0.0,upi,Beauty,0
819.85,530.0,88.68,1.0,1.0,4.06,0.0,upi,Home & Kitchen,0
800.13,752.0,83.12,0.0,2.0,4.15,0.0,upi,Food & Beverage,0
831.15,31.0,69.52,0.0,3.0,3.74,0.0,cod,Grocery,0
537.92,135.0,65.51,0.0,0.0,3.12,0.0,upi,Electronics,0
378.2,231.0,50.09,0.0,1.0,2.48,0.0,card,Food & Beverage,0
427.19,449.0,45.58,0.0,0.0,1.66,1.0,card,Grocery,0
886.77,544.0,81.16,1.0,0.0,3.94,0.0,upi,Beauty,0
1563.21,49.0,90.75,0.0,1.0,5.0,0.0,cod,Beauty,0
976.55,1051.0,74.76,0.0,0.0,3.91,0.0,cod,Electronics,0
1791.54,100.0,58.65,1.0,1.0,2.7,0.0,card,Fashion,0
2122.52,506.0,78.94,0.0,0.0,3.61,0.0,upi,Fashion,0
2895.81,106.0,71.23,1.0,2.0,3.55,0.0,wallet,Home & Kitchen,0
2728.37,5.0,84.67,0.0,1.0,4.39,0.0,wallet,Beauty,0
270.56,275.0,24.48,1.0,1.0,1.0,1.0,cod,Electronics,1
1252.78,231.0,67.38,0.0,1.0,3.31,0.0,upi,Fashion,0
609.46,83.0,68.74,0.0,1.0,2.86,0.0,wallet,Pharmacy,0
443.12,70.0,47.29,0.0,1.0,2.61,1.0,upi,Books,0
716.08,146.0,71.41,0.0,1.0,3.31,0.0,cod,Pharmacy,0
2277.04,339.0,39.37,1.0,0.0,2.16,1.0,upi,Books,0
1774.02,111.0,44.79,0.0,1.0,2.34,0.0,card,Beauty,0
893.6,206.0,68.31,1.0,4.0,3.55,0.0,upi,Grocery,0
1396.63,926.0,71.32,0.0,2.0,3.49,0.0,card,Fashion,0
1136.49,47.0,95.11,0.0,1.0,5.0,0.0,upi,Books,0
717.3,99.0,86.44,0.0,1.0,4.13,0.0,upi,Beauty,0
492.53,31.0,68.96,0.0,1.0,3.95,0.0,card,Fashion,0
815.24,125.0,93.06,1.0,0.0,4.73,0.0,wallet,Food & Beverage,0
1460.38,455.0,77.17,0.0,1.0,3.9,0.0,upi,Home & Kitchen,0
2452.81,890.0,83.98,1.0,0.0,4.13,0.0,upi,Fashion,0
1262.28,162.0,88.36,0.0,2.0,4.45,0.0,upi,Grocery,0
566.76,335.0,26.35,0.0,0.0,1.32,1.0,card,Electronics,0
396.52,270.0,74.35,2.0,3.0,4.24,0.0,upi,Home & Kitchen,0
1108.19,277.0,92.75,0.0,0.0,4.27,0.0,upi,Beauty,0
168.78,171.0,56.9,0.0,1.0,2.79,0.0,card,Electronics,0
3996.4,200.0,86.4,1.0,1.0,4.04,0.0,upi,Home & Kitchen,0
1245.13,30.0,50.79,0.0,2.0,2.37,1.0,card,Home & Kitchen,0
2018.78,46.0,79.28,2.0,0.0,3.97,0.0,upi,Beauty,0
1699.54,3.0,63.47,0.0,0.0,3.62,0.0,cod,Books,0
1230.09,29.0,92.5,0.0,0.0,4.77,0.0,upi,Home & Kitchen,0
1175.73,187.0,84.96,1.0,0.0,3.96,0.0,card,Pharmacy,0
1515.77,51.0,79.03,0.0,0.0,3.86,0.0,upi,Beauty,0
669.64,155.0,70.71,0.0,0.0,3.88,0.0,cod,Food & Beverage,0
905.0,11.0,45.09,0.0,0.0,2.08,0.0,upi,Books,1
1576.16,93.0,87.54,0.0,3.0,4.42,0.0,upi,Food & Beverage,0
269.95,385.0,52.35,1.0,1.0,2.74,0.0,cod,Electronics,0
882.65,251.0,90.29,1.0,1.0,4.45,0.0,card,Fashion,0
806.24,330.0,88.02,0.0,1.0,4.13,0.0,upi,Electronics,0
159.92,148.0,83.48,0.0,1.0,4.25,0.0,card,Food & Beverage,0
1317.36,168.0,57.63,0.0,0.0,3.57,0.0,upi,Books,0
1034.24,234.0,54.96,0.0,1.0,2.61,0.0,upi,Grocery,0
881.45,110.0,76.95,0.0,3.0,3.69,0.0,card,Books,0
1785.59,12.0,79.52,0.0,1.0,4.2,0.0,wallet,Pharmacy,0
1593.33,416.0,38.6,0.0,1.0,2.65,0.0,card,Home & Kitchen,0
1678.26,308.0,75.4,1.0,0.0,3.52,0.0,upi,Food & Beverage,0
814.31,362.0,42.43,1.0,3.0,1.77,0.0,card,Home & Kitchen,0
654.65,20.0,63.69,1.0,0.0,3.42,0.0,cod,Fashion,0
1017.12,132.0,75.75,0.0,2.0,4.03,0.0,upi,Beauty,0
1222.12,431.0,45.83,0.0,1.0,2.0,0.0,upi,Home & Kitchen,0
1435.72,361.0,54.49,1.0,0.0,2.64,0.0,upi,Beauty,0
442.31,53.0,46.49,0.0,2.0,1.98,1.0,card,Food & Beverage,1
1165.99,95.0,60.25,0.0,0.0,2.9,0.0,wallet,Pharmacy,0
1926.96,113.0,71.58,1.0,0.0,3.49,0.0,upi,Food & Beverage,0
489.62,54.0,88.35,0.0,1.0,4.7,0.0,upi,Beauty,0
152.9,35.0,83.39,0.0,1.0,4.54,0.0,upi,Books,0
95.87,63.0,70.17,0.0,1.0,3.48,0.0,upi,Pharmacy,0
649.16,90.0,85.09,0.0,1.0,4.71,0.0,card,Fashion,0
378.54,51.0,77.2,0.0,2.0,4.15,0.0,cod,Food & Beverage,0
1278.62,3.0,72.69,0.0,3.0,3.24,0.0,card,Fashion,0
1133.81,68.0,51.69,1.0,2.0,2.92,0.0,card,Fashion,0
185.97,267.0,67.87,0.0,3.0,3.64,0.0,upi,Home & Kitchen,0
1867.51,150.0,73.96,0.0,0.0,4.27,0.0,upi,Pharmacy,0
524.02,121.0,53.84,1.0,3.0,2.77,0.0,cod,Fashion,1
420.96,135.0,45.39,1.0,0.0,2.8,1.0,cod,Beauty,1
1093.02,259.0,69.13,0.0,1.0,2.94,0.0,upi,Food & Beverage,0
612.23,35.0,66.22,0.0,0.0,3.18,0.0,cod,Books,0
1024.26,146.0,95.31,0.0,1.0,4.17,0.0,wallet,Fashion,0
785.89,171.0,91.18,1.0,2.0,4.47,0.0,cod,Beauty,0
2013.1,16.0,36.73,0.0,2.0,1.89,0.0,card,Books,0
1040.89,30.0,94.75,0.0,1.0,4.73,0.0,upi,Food & Beverage,0
718.15,13.0,27.91,0.0,2.0,1.68,1.0,cod,Pharmacy,1
859.81,364.0,68.79,0.0,2.0,4.18,0.0,upi,Grocery,0
1734.86,810.0,72.06,1.0,1.0,3.5,0.0,upi,Food & Beverage,0
446.4,53.0,51.07,1.0,0.0,2.94,0.0,card,Pharmacy,0
1327.4,90.0,56.71,0.0,2.0,3.05,0.0,wallet,Home & Kitchen,0
895.83,64.0,46.16,0.0,2.0,2.42,1.0,cod,Grocery,1
916.77,62.0,51.23,1.0,1.0,2.82,1.0,cod,Pharmacy,1
380.41,41.0,70.6,0.0,2.0,3.43,0.0,upi,Pharmacy,0
652.36,18.0,81.35,1.0,2.0,4.38,0.0,cod,Fashion,0
556.29,128.0,82.77,0.0,0.0,3.71,0.0,cod,Fashion,0
892.4,256.0,88.07,1.0,0.0,4.45,0.0,cod,Books,0
280.05,23.0,24.37,0.0,1.0,1.13,0.0,card,Pharmacy,0
141.42,55.0,73.54,0.0,0.0,4.42,0.0,card,Beauty,0
608.93,278.0,32.68,0.0,2.0,1.31,1.0,cod,Home & Kitchen,0
1758.54,93.0,90.95,1.0,0.0,4.7,0.0,card,Beauty,0
1245.36,100.0,85.27,1.0,1.0,4.64,0.0,upi,Food & Beverage,0
826.71,117.0,56.75,1.0,0.0,2.67,0.0,card,Grocery,0
402.48,371.0,72.48,2.0,4.0,3.64,0.0,cod,Grocery,1
89.89,31.0,95.01,1.0,1.0,4.6,0.0,upi,Electronics,0
520.97,14.0,31.27,0.0,0.0,1.43,0.0,upi,Electronics,0
744.52,95.0,84.52,0.0,0.0,4.73,0.0,cod,Electronics,0
339.93,76.0,33.89,0.0,3.0,1.13,1.0,card,Home & Kitchen,1
1180.99,273.0,80.88,0.0,0.0,4.13,0.0,upi,Grocery,0
1160.29,131.0,52.75,0.0,1.0,2.01,1.0,cod,Fashion,0
601.03,58.0,33.76,2.0,0.0,1.97,1.0,card,Grocery,0
778.4,13.0,22.09,0.0,1.0,1.0,1.0,card,Grocery,0
766.32,643.0,86.68,1.0,2.0,3.82,0.0,upi,Pharmacy,0
1105.31,16.0,42.88,0.0,2.0,2.1,1.0,wallet,Home & Kitchen,1
435.6,139.0,76.16,0.0,1.0,3.45,0.0,upi,Books,0
3788.83,23.0,85.19,0.0,2.0,4.56,0.0,card,Beauty,0
278.53,330.0,48.65,0.0,0.0,2.75,1.0,card,Home & Kitchen,0
440.61,61.0,82.73,1.0,2.0,3.79,0.0,upi,Pharmacy,0
993.35,19.0,36.46,2.0,1.0,1.99,1.0,upi,Food & Beverage,1
2477.88,15.0,45.94,0.0,1.0,2.1,1.0,upi,Electronics,0
565.18,38.0,57.4,0.0,1.0,2.78,0.0,upi,Beauty,0
391.03,397.0,51.17,1.0,0.0,3.16,0.0,wallet,Fashion,0
694.65,385.0,42.83,0.0,2.0,2.03,1.0,cod,Books,1
1353.87,56.0,90.96,1.0,1.0,4.99,0.0,wallet,Home & Kitchen,0
1401.66,115.0,95.4,0.0,2.0,5.0,0.0,wallet,Grocery,0
1240.98,90.0,91.13,1.0,0.0,4.46,0.0,upi,Food & Beverage,0
2656.27,260.0,49.39,1.0,1.0,2.56,0.0,cod,Books,0
1406.66,92.0,81.61,0.0,0.0,3.94,0.0,card,Home & Kitchen,0
1602.81,185.0,84.02,1.0,0.0,4.21,0.0,upi,Home & Kitchen,0
1711.65,87.0,92.91,0.0,1.0,4.85,0.0,card,Pharmacy,0
354.77,3.0,63.92,0.0,0.0,3.18,0.0,upi,Grocery,0
757.41,47.0,70.01,1.0,0.0,3.62,0.0,wallet,Books,0
447.0,91.0,72.88,0.0,3.0,3.44,0.0,cod,Grocery,0
480.09,144.0,26.74,0.0,0.0,1.07,1.0,cod,Electronics,1
644.75,73.0,57.8,0.0,0.0,2.78,0.0,upi,Fashion,0
1086.5,99.0,21.32,0.0,1.0,1.11,1.0,upi,Pharmacy,0
2398.78,96.0,41.25,0.0,2.0,2.46,1.0,upi,Food & Beverage,0
1315.06,4.0,53.58,0.0,1.0,2.63,0.0,cod,Electronics,0
1156.26,118.0,35.61,0.0,1.0,1.91,0.0,card,Fashion,0
655.91,336.0,38.42,0.0,0.0,1.64,1.0,card,Food & Beverage,0
2561.78,20.0,40.21,0.0,0.0,2.27,0.0,upi,Fashion,0
261.84,352.0,51.46,0.0,3.0,2.46,0.0,card,Fashion,0
1432.0,40.0,90.9,1.0,1.0,4.48,0.0,card,Home & Kitchen,0
152.45,741.0,78.3,0.0,1.0,3.94,0.0,wallet,Beauty,0
941.65,424.0,70.44,0.0,2.0,3.36,0.0,cod,Food & Beverage,0
